Title,url,item_price,item_cat,prod_url
"VIMLE-2-seat sofa-bed, Gunnared medium grey-89545272",https://www.ikea.com.hk/dairyfarm/hk/images/860/0686027_PE721569_S4.webp,8299.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/vimle-spr-89545272
"NYHAMN-3-seat sofa-bed, with foam mattress/Skartofta black/light grey-9499981",https://www.ikea.com.hk/dairyfarm/hk/images/553/1155312_PE886552_S4.webp,2299.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/nyhamn-spr-09499981
"GRÖNLID-2-seat sofa-bed, Sporda dark grey-9536648",https://www.ikea.com.hk/dairyfarm/hk/images/218/0621863_PE690097_S4.webp,7999.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/gronlid-spr-09536648
"LYCKSELE MURBO-chair-bed, Ransta natural-59386972",https://www.ikea.com.hk/dairyfarm/hk/images/496/0949692_PE799951_S4.webp,1699.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/lycksele-murbo-spr-59386972
"VIMLE-2-seat sofa-bed, Saxemara black-blue-29537185",https://www.ikea.com.hk/dairyfarm/hk/images/496/0949605_PE799898_S4.webp,7699.0,0113 sofa-beds,https://www.ikea.com.hk/products/sofas-and-armchairs/sofa-beds/vimle-spr-29537185
"SLÄKT-bed frame w storage+slatted bedbase, white, Single-19291985",https://www.ikea.com.hk/dairyfarm/hk/images/483/0648346_PE704865_S4.webp,2499.0,0933 beds-for-children,https://www.ikea.com.hk/products/childrens-sleep/beds-for-children/slakt-spr-19291985
"GRIMSBU-bed frame, grey/Luröy, Single-9311936",https://www.ikea.com.hk/dairyfarm/hk/images/492/0749251_PE747239_S4.webp,499.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/grimsbu-spr-09311936
"SONGESAND-bed frame with 2 storage boxes, white/Luröy, Single-79241011",https://www.ikea.com.hk/dairyfarm/hk/images/510/1151048_PE884750_S4.webp,1799.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/songesand-spr-79241011
"BRUKSVARA-bed frame, white, Single-20570891",https://www.ikea.com.hk/dairyfarm/hk/images/008/1200846_PE905039_S4.webp,899.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/bruksvara-art-20570891
"UTÅKER-stackable bed, pine, Single-50360486",https://www.ikea.com.hk/dairyfarm/hk/images/618/1161849_PE889565_S4.webp,1599.0,0522 day-beds-loft-beds-and-bunk-beds,https://www.ikea.com.hk/en/products/mattresses-and-accessories/day-beds-loft-beds-and-bunk-beds/utaker-art-50360486
"NORDLI-bed frame with storage, white, 90x200 cm-40349852",https://www.ikea.com.hk/dairyfarm/hk/images/510/1151036_PE884739_S4.webp,1899.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/nordli-art-40349852
"SONGESAND-bed frame with 2 storage boxes, white/Lönset, Single-59241012",https://www.ikea.com.hk/dairyfarm/hk/images/510/1151048_PE884750_S4.webp,2099.0,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/songesand-spr-59241012
"FELFRITT-laptop/bed tray, bamboo, 58x32x27 cm-70500527",https://www.ikea.com.hk/dairyfarm/hk/images/621/0962166_PE807977_S4.webp,199.9,0361 desks-accessories,https://www.ikea.com.hk/en/products/workspace-accessories/desks-accessories/felfritt-art-70500527
"BRUKSVARA-bed frame, brown, Single-60570894",https://www.ikea.com.hk/dairyfarm/hk/images/008/1200849_PE905040_S4.webp,899.9,0521 bed-frames,https://www.ikea.com.hk/products/beds/bed-frames/bruksvara-art-60570894
